Model,MAE,RMSE,R2,WMAE,Pickled_Size_MB
"Extra Trees (notebook best, unconstrained)",1243.2063663875508,2882.0086673274545,0.9836246939171236,1392.816748600301,1352.579887
Random Forest (deployed),1459.4568312368947,3405.497809494329,0.9771355861751533,1623.0660611643968,54.192672
XGBoost,2495.9227280663667,4460.41409109593,0.960776240299049,2588.5592241359204,1.761332
LightGBM,2983.9079089840147,4910.926770773823,0.9524527090434907,3091.6365214221105,0.633604
CatBoost,4688.414083492151,7821.456205568711,0.8793925605926248,4819.165564913434,0.202985
